Date,event,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
2010-01-04,0,5.384696960449219,5.59719181060791,5.384696960449219,5.592670917510986,2.608812093734741,11697227,,,,,,,0,0,0
2010-01-05,0,5.624319076538086,5.633360862731934,5.520331859588623,5.574585914611816,2.600377082824707,11140511,-0.0032389366487072,,,,,,0,0,0
2010-01-06,0,5.556500911712647,5.601713180541992,5.497725963592529,5.506769180297852,2.568742036819458,11219915,-0.0122399436533845,,,0.0063646730905148,,,-1,0,0
2010-01-07,0,5.4932050704956055,5.511290073394775,5.4299092292785645,5.475121021270752,2.55397891998291,9377466,-0.005763715728334,,,0.0046428110133907,,,-1,0,0
2010-01-08,0,5.457036018371582,5.4932050704956055,5.4073028564453125,5.434430122375488,2.5349984169006348,9885080,-0.0074597180130531,,,0.003795569136992,,,-1,0,0
2010-01-11,0,5.479641914367676,5.506769180297852,5.362092018127441,5.416346073150635,2.526561498641968,12991807,-0.0033332299261241,,,0.0037091086981381,,,-1,0,0
2010-01-12,0,5.357571125030518,5.447994232177734,5.344007015228272,5.416346073150635,2.526561498641968,9449351,0.0,-0.0320355439696033,,0.0042246692632527,,,0,0,0
2010-01-13,0,5.416346073150635,5.470599174499512,5.357571125030518,5.398261070251465,2.518126964569092,14268913,-0.0033445541789284,-0.0321411614998246,,0.0039295798495859,7.468287183165615e-05,,-1,-1,0
2010-01-14,0,5.398261070251465,5.447994232177734,5.294273853302002,5.321401119232178,2.482272863388061,11825733,-0.0143402407269094,-0.0342414585733494,,0.0049004329159998,0.0012442174313443,,-1,-1,0
2010-01-15,0,5.316880226135254,5.375655174255371,5.16768217086792,5.190288066864014,2.4211134910583496,15199427,-0.0249474371047268,-0.0534251799497422,,0.0077460726583921,0.0103594948263461,,-1,-1,0
2010-01-18,0,5.267147064208984,5.312358856201172,5.230978012084961,5.240019798278809,2.444311618804932,5862216,0.0095360767730806,-0.0364293851636081,,0.009226840471278,0.0089976895992544,,1,-1,0
2010-01-19,0,5.181244850158691,5.312358856201172,5.181244850158691,5.285232067108154,2.4654018878936768,11303522,0.00859125225675,-0.0245049029807339,,0.0098671906365158,0.0096739643209082,,1,-1,0
2010-01-20,0,5.226457118988037,5.244542121887207,5.045610904693604,5.113428115844727,2.3852596282958984,14654877,-0.0330464854357186,-0.0575513884164526,,0.0123857935495235,0.0121526923990451,,-1,-1,0
2010-01-21,0,5.1315131187438965,5.176723957061768,4.97327184677124,5.050131797790527,2.355733633041382,16697938,-0.0124557019252387,-0.0666625361627628,,0.0119389856928327,0.0149966206928907,,-1,-1,0
2010-01-22,0,4.977793216705322,5.154118061065674,4.977793216705322,5.113428115844727,2.3852596282958984,8972924,0.0124557019252386,-0.0398665935106145,,0.0126895510590897,0.0140482199841952,,1,-1,0
2010-01-26,0,5.013963222503662,5.122469902038574,4.946145057678223,5.108907222747803,2.383150815963745,14385919,-0.0008845128323279,-0.0158036692382157,,0.0123105765466472,0.015600836447191,,0,-1,0
2010-01-27,0,5.081779956817627,5.090822219848633,4.9506659507751465,5.000399112701416,2.3325355052948,18269438,-0.021467798823265,-0.0468075448345614,,0.0125035808944832,0.0149739000899578,,-1,-1,0
2010-01-28,0,5.081779956817627,5.11794900894165,4.97327184677124,5.11794900894165,2.38736891746521,22920902,0.0232360428163179,-0.0321627542749936,,0.0141538812264852,0.0144530265383182,,1,-1,0
2010-01-29,0,5.11794900894165,5.190288066864014,5.018484115600586,5.077259063720703,2.3683888912200928,13736085,-0.0079822130121967,-0.0070984818514717,,0.0137467320193525,0.0164699782154866,,-1,-1,0
2010-02-01,0,5.11794900894165,5.176723957061768,5.077259063720703,5.14959716796875,2.4021315574646,9541805,0.0141469302115673,0.0195041502853342,,0.014089889508013,0.0218412092630904,,1,1,0
2010-02-02,0,5.208372116088867,5.2987961769104,5.154118061065674,5.226457118988037,2.437986135482788,10472540,0.0148151416156725,0.0218635899757679,,0.0143676786125151,0.0253413737591548,,1,1,0
2010-02-03,0,5.199329853057861,5.276189804077148,5.158639907836914,5.221936225891113,2.4358747005462646,9161592,-0.0008653758008204,0.0218827270072756,,0.0140146804895239,0.0276078263764987,,0,1,0
2010-02-04,0,5.181244850158691,5.18576717376709,4.9823150634765625,4.995878219604492,2.330427408218384,15513506,-0.0442550412325979,-0.0009045154020573,-0.1128437594437062,0.016230407246003,0.027413596717745,,-1,0,0
2010-02-05,0,4.955187797546387,5.072738170623779,4.769820213317871,4.8783278465271,2.27559232711792,22769171,-0.0238107096412384,-0.0479512678596138,-0.1334155324362373,0.0163286853558497,0.0271637666279884,0.014546440184049,-1,-1,-1
2010-02-08,0,4.932581901550293,4.946145057678223,4.815032005310059,4.86024284362793,2.2671573162078857,18348400,-0.0037141022567091,-0.043683157104126,-0.124889691039562,0.0159762402580577,0.0267154654397426,0.0103359589426875,-1,-1,-1
2010-02-09,0,4.959709167480469,5.154118061065674,4.959709167480469,5.108907222747803,2.383150815963745,22470575,0.04989712612327,-0.0079329611924234,-0.0692288491879579,0.0192070061427601,0.026340715125384,0.0285209167428788,1,-1,-1
2010-02-10,0,5.154118061065674,5.154118061065674,5.054653167724609,5.099864959716797,2.3789334297180176,8191044,-0.0017714697191829,-0.0245195725272789,-0.0635406008940875,0.0188224330189306,0.0256752680343264,0.0323037821574889,0,-1,-1
2010-02-11,0,5.099864959716797,5.244542121887207,5.027525901794434,5.154118061065674,2.4042410850524902,14982669,0.0105819577621729,-0.0130722389642856,-0.0496254132057905,0.0186561552505624,0.0252015560752021,0.0356513996377075,1,-1,-1
2010-02-12,0,5.1315131187438965,5.190288066864014,5.032046794891357,5.18576717376709,2.419003963470459,13136902,0.0061217723065567,0.0373045745748691,-0.0435036408992337,0.0183888267565934,0.0278549776216685,0.0373998028147018,1,1,-1
2010-02-17,0,5.244542121887207,5.316880226135254,5.226457118988037,5.271668910980225,2.459075450897217,13509373,0.0164292028591764,0.0775444870752838,-0.0237298838611289,0.018403464018036,0.0340403527659651,0.0408982754572898,1,1,-1
2010-02-18,0,5.253583908081055,5.312358856201172,5.199329853057861,5.312358856201172,2.478055238723755,7646272,0.0076889718323855,0.0889475611643788,-0.0017006713018338,0.0181703766286227,0.0396278378342779,0.0458651969106371,1,1,0
2010-02-19,0,5.285232067108154,5.289752960205078,5.230978012084961,5.253583908081055,2.4506399631500244,5772637,-0.0111254727902298,0.0279249622508788,0.0121212930126631,0.017944760553939,0.0396878097997518,0.0503052156305145,-1,1,1
2010-02-22,0,5.276189804077148,5.280711174011231,5.154118061065674,5.154118061065674,2.4042410850524902,12149987,-0.0191144742078889,0.0105819577621729,-0.0165292579683064,0.0179098104600958,0.0391671377343595,0.0495744682039479,-1,1,-1
2010-02-23,0,5.140554904937744,5.154118061065674,5.032046794891357,5.090822219848633,2.374715805053711,11556333,-0.0123566648221056,-0.0123566648221056,-0.0374771750471623,0.0177101849389502,0.0384352966281733,0.0476018402384415,-1,-1,-1
2010-02-24,0,5.122469902038574,5.1315131187438965,5.027525901794434,5.063694953918457,2.3620619773864746,25094461,-0.0053429089731609,-0.0238213461018232,-0.0097735985846044,0.0174450282751069,0.0378113604416351,0.0472968062757762,-1,-1,-1
2010-02-25,0,4.977793216705322,5.14959716796875,4.919017791748047,5.063694953918457,2.3620619773864746,16213991,0.0,-0.0402505489609996,0.0026821033406342,0.0171936664222316,0.0375105308037384,0.047721846518214,0,-1,0
2010-02-26,0,5.063694953918457,5.226457118988037,5.027525901794434,5.226457118988037,2.437986135482788,32215205,0.0316371885603725,-0.0163023322330127,0.0218635899757679,0.0178939221541894,0.036885052901241,0.0493936941982073,1,-1,1
2010-03-01,0,5.267147064208984,5.267147064208984,5.181244850158691,5.1948089599609375,2.4261603355407715,18382905,-0.0060737833735791,-0.011250642816362,0.0166743194345167,0.0176571030723777,0.036286621359297,0.0500194047845619,-1,-1,1
2010-03-02,1,5.244542121887207,5.276189804077148,5.212893962860107,5.244542121887207,2.449387311935425,14642048,0.0095280899714523,0.0173919213629793,0.0476702082292341,0.0175168759636069,0.0361042465249409,0.0528501322947419,1,1,1
2010-03-03,0,5.190288066864014,5.330443859100342,5.18576717376709,5.276189804077148,2.503326416015625,41697069,0.0060162691856839,0.0357648553707688,0.0304504345986002,0.0173288610359079,0.0364866331937239,0.0535038963504756,1,1,1
2010-03-04,0,5.307837963104248,5.321401119232178,5.199329853057861,5.199329853057861,2.4668614864349365,15587160,-0.0146744663332409,0.0264332980106887,0.0237581812775561,0.0172317450335317,0.0364884597454974,0.0534828868551962,-1,1,1
2010-03-05,0,5.285232067108154,5.321401119232178,5.271668910980225,5.276189804077148,2.503326416015625,19386630,0.0146744663332409,0.0411077643439297,0.0242857173992296,0.0172089529392144,0.0369426881841024,0.0533506888640918,1,1,1
2010-03-08,0,5.289752960205078,5.339486122131348,5.253583908081055,5.267147064208984,2.499037265777588,11935219,-0.0017153472754259,0.0077552285081312,0.0077552285081312,0.016997852908501,0.0365200796191669,0.0524988622524816,-1,1,1
2010-03-09,0,5.240019798278809,5.447994232177734,5.226457118988037,5.402781963348389,2.563389539718628,22725819,0.0254251373810212,0.0392541492627318,0.0340457416899729,0.0172863273270647,0.0368213651242799,0.0526951802367073,1,1,1
2010-03-10,0,5.434430122375488,5.4932050704956055,5.348527908325195,5.402781963348389,2.563389539718628,18642130,0.0,0.0297260592912792,0.0783007829225709,0.0170845703458168,0.0367941330287201,0.0555017792784152,0,1,1
2010-03-11,0,5.357571125030518,5.425387859344482,5.334965229034424,5.393740177154541,2.5591013431549072,10815373,-0.0016749446145766,0.0220348454910186,0.1004365479492328,0.0168898326539219,0.0365809466031998,0.0593237311325259,0,1,1
2010-03-12,0,5.4118242263793945,5.447994232177734,5.276189804077148,5.280711174011231,2.505472421646118,10103829,-0.0211782739990786,0.015531037825181,0.0829723762068633,0.0169691072036776,0.0362613641690474,0.0610973996946275,-1,1,1
