CD_CVM,Date,Return,event,Year
19348,2010-01-04,,0,2010
19348,2010-01-05,0.006459704313589818,0,2010
19348,2010-01-06,-0.008705505000678135,0,2010
19348,2010-01-07,-0.010295057443854859,0,2010
19348,2010-01-08,-0.015259796337963335,0,2010
19348,2010-01-11,-0.008751643191024424,0,2010
19348,2010-01-12,-0.009350704503047664,0,2010
19348,2010-01-13,0.0031266837778504007,0,2010
19348,2010-01-14,-0.01388374537301968,0,2010
19348,2010-01-15,-0.017026153458944246,0,2010
19348,2010-01-18,0.008815339051697842,0,2010
19348,2010-01-19,-0.002663162432770834,0,2010
19348,2010-01-20,-0.026754805256537645,0,2010
19348,2010-01-21,-0.01852152693294578,0,2010
19348,2010-01-22,0.011374833019457138,0,2010
19348,2010-01-26,0.0024795723703966697,0,2010
19348,2010-01-27,-0.014412544996244243,0,2010
19348,2010-01-28,0.02943403845811266,0,2010
19348,2010-01-29,-0.0208169580126703,0,2010
19348,2010-02-01,0.018646016647304482,0,2010
19348,2010-02-02,0.01322367762587687,0,2010
19348,2010-02-03,-0.0042986666344517,0,2010
19348,2010-02-04,-0.03926382579658279,0,2010
19348,2010-02-05,-0.025813344570962002,0,2010
19348,2010-02-08,-0.0028777485679030495,0,2010
19348,2010-02-09,0.04369978347712332,0,2010
19348,2010-02-10,0.005501928728683902,0,2010
19348,2010-02-11,0.017405989902755572,0,2010
19348,2010-02-12,-0.00026962576515965727,0,2010
19348,2010-02-17,0.021345479525363406,0,2010
19348,2010-02-18,0.0031629450520354228,0,2010
19348,2010-02-19,-0.015915433362942467,0,2010
19348,2010-02-22,-0.02107616555896421,0,2010
19348,2010-02-23,-0.016797934613706787,0,2010
19348,2010-02-24,-0.011170124470419136,0,2010
19348,2010-02-25,-0.00028083334224677104,0,2010
19348,2010-02-26,0.024966558167637775,0,2010
19348,2010-03-01,0.001642513843536252,0,2010
19348,2010-03-02,0.01600902758534887,0,2010
19348,2010-03-03,0.0,0,2010
19348,2010-03-04,-0.0013467355829413568,0,2010
19348,2010-03-05,0.005376211983795878,0,2010
19348,2010-03-08,-0.0005362281417865817,0,2010
19348,2010-03-09,0.012263523431062861,0,2010
19348,2010-03-10,0.00423058569018476,0,2010
19348,2010-03-11,0.0026350343714410013,0,2010
19348,2010-03-12,-0.016182882685562443,0,2010
19348,2010-03-15,0.00586666583016745,0,2010
19348,2010-03-16,0.006361114961056756,0,2010
19348,2010-03-17,-0.009290116379313776,0,2010
19348,2010-03-18,-0.008032249152881768,0,2010
19348,2010-03-19,-0.004040330184577625,0,2010
19348,2010-03-22,0.014735741770230305,0,2010
19348,2010-03-23,-0.008278967085242015,0,2010
19348,2010-03-24,-0.021412910254518427,0,2010
19348,2010-03-25,0.011982797382612816,0,2010
19348,2010-03-26,0.017709079957147482,0,2010
19348,2010-03-29,0.014783756143365035,0,2010
19348,2010-03-30,0.010168282182409626,0,2010
19348,2010-03-31,0.011605431306115526,0,2010
19348,2010-04-01,0.005115243456747514,0,2010
19348,2010-04-05,0.006357212518245568,0,2010
19348,2010-04-06,-0.012755267042800267,0,2010
19348,2010-04-07,-0.009026507239595475,0,2010
19348,2010-04-08,0.0351270335890056,0,2010
19348,2010-04-09,0.0029970560345231804,0,2010
19348,2010-04-12,-0.013810681087440388,0,2010
19348,2010-04-13,-0.0030386865567599898,0,2010
19348,2010-04-14,0.0055639278197664776,0,2010
19348,2010-04-15,-0.0015144126913535433,0,2010
19348,2010-04-16,-0.03182189586065277,0,2010
19348,2010-04-19,-0.011539678164329697,0,2010
19348,2010-04-20,0.008928666532555033,0,2010
19348,2010-04-22,-0.009192459470361188,0,2010
19348,2010-04-23,0.0013183272416684606,0,2010
19348,2010-04-26,-0.012995823803448329,0,2010
19348,2010-04-27,-0.03393832332245205,0,2010
19348,2010-04-28,0.02508989125864387,0,2010
19348,2010-04-29,0.017883932499506736,0,2010
19348,2010-04-30,-0.0026489947640679665,0,2010
19348,2010-05-03,0.0026489947640680233,0,2010
19348,2010-05-04,-0.02681129913052344,0,2010
19348,2010-05-05,-0.003266133487979742,0,2010
19348,2010-05-06,-0.012068250009572382,0,2010
19348,2010-05-07,-0.0027631821937233866,0,2010
19348,2010-05-10,0.04199460753498226,0,2010
